samp,x1,x2,cdf,idx,shape,approach,dtime,pval
0,0.6107595681194771,-2.102986906353705,0.0683592,"(37,)","(1000,)",scipy,0.2586941719055176,0.06828531150135703
0,0.6107595681194771,-2.102986906353705,0.0683592,"(37,)","(1000,)",cox1,0.48697996139526367,0.06813517281250044
0,0.6107595681194771,-2.102986906353705,0.0683592,"(37,)","(1000,)",cox2,0.006596803665161133,0.06930419829917174
0,0.6107595681194771,-2.102986906353705,0.0683592,"(37,)","(1000,)",owen,0.0007801055908203125,0.06828531150135708
0,0.6107595681194771,-2.102986906353705,0.0683592,"(37,)","(1000,)",drezner1,0.22068572044372559,0.06828531021096236
0,0.6107595681194771,-2.102986906353705,0.0683592,"(37,)","(1000,)",drezner2,0.21776294708251953,0.06828531174058379
1,0.7515687828451386,2.4247673620529686,0.5779035,"(72,)","(1000,)",scipy,0.2586941719055176,0.578207893797088
1,0.7515687828451386,2.4247673620529686,0.5779035,"(72,)","(1000,)",cox1,0.48697996139526367,0.5794654069743207
1,0.7515687828451386,2.4247673620529686,0.5779035,"(72,)","(1000,)",cox2,0.006596803665161133,0.5847708430881778
1,0.7515687828451386,2.4247673620529686,0.5779035,"(72,)","(1000,)",owen,0.0007801055908203125,0.5782078937970879
1,0.7515687828451386,2.4247673620529686,0.5779035,"(72,)","(1000,)",drezner1,0.22068572044372559,0.5782078098004738
1,0.7515687828451386,2.4247673620529686,0.5779035,"(72,)","(1000,)",drezner2,0.21776294708251953,0.5782078938371582
2,1.3866318949831717,-1.2749304599366196,0.1760902,"(129,)","(1000,)",scipy,0.2586941719055176,0.17607735437884023
2,1.3866318949831717,-1.2749304599366196,0.1760902,"(129,)","(1000,)",cox1,0.48697996139526367,0.17606441178924925
2,1.3866318949831717,-1.2749304599366196,0.1760902,"(129,)","(1000,)",cox2,0.006596803665161133,0.17608014170274766
2,1.3866318949831717,-1.2749304599366196,0.1760902,"(129,)","(1000,)",owen,0.0007801055908203125,0.17607735437884028
2,1.3866318949831717,-1.2749304599366196,0.1760902,"(129,)","(1000,)",drezner1,0.22068572044372559,0.1760773543788403
2,1.3866318949831717,-1.2749304599366196,0.1760902,"(129,)","(1000,)",drezner2,0.21776294708251953,0.1760773543788403
3,-1.0880744148396744,-2.913231940361454,0.0981429,"(144,)","(1000,)",scipy,0.2586941719055176,0.09814776655423371
3,-1.0880744148396744,-2.913231940361454,0.0981429,"(144,)","(1000,)",cox1,0.48697996139526367,0.1019756132198002
3,-1.0880744148396744,-2.913231940361454,0.0981429,"(144,)","(1000,)",cox2,0.006596803665161133,0.10283456615096487
3,-1.0880744148396744,-2.913231940361454,0.0981429,"(144,)","(1000,)",owen,0.0007801055908203125,0.09814776655423375
3,-1.0880744148396744,-2.913231940361454,0.0981429,"(144,)","(1000,)",drezner1,0.22068572044372559,0.09814731674017907
3,-1.0880744148396744,-2.913231940361454,0.0981429,"(144,)","(1000,)",drezner2,0.21776294708251953,0.09814777576560385
4,0.8637352494917905,-1.6601797995804626,0.336846,"(178,)","(1000,)",scipy,0.2586941719055176,0.336837552768033
4,0.8637352494917905,-1.6601797995804626,0.336846,"(178,)","(1000,)",cox1,0.48697996139526367,0.336477335891131
4,0.8637352494917905,-1.6601797995804626,0.336846,"(178,)","(1000,)",cox2,0.006596803665161133,0.3411174859285007
4,0.8637352494917905,-1.6601797995804626,0.336846,"(178,)","(1000,)",owen,0.0007801055908203125,0.33683755276803284
4,0.8637352494917905,-1.6601797995804626,0.336846,"(178,)","(1000,)",drezner1,0.22068572044372559,0.3368375526723411
4,0.8637352494917905,-1.6601797995804626,0.336846,"(178,)","(1000,)",drezner2,0.21776294708251953,0.33683755276900745
5,-0.07192652717033599,-0.8144350192064198,0.1490635,"(235,)","(1000,)",scipy,0.2586941719055176,0.149052541119735
5,-0.07192652717033599,-0.8144350192064198,0.1490635,"(235,)","(1000,)",cox1,0.48697996139526367,0.14886561255441577
5,-0.07192652717033599,-0.8144350192064198,0.1490635,"(235,)","(1000,)",cox2,0.006596803665161133,0.14678071044309982
5,-0.07192652717033599,-0.8144350192064198,0.1490635,"(235,)","(1000,)",owen,0.0007801055908203125,0.149052541119735
5,-0.07192652717033599,-0.8144350192064198,0.1490635,"(235,)","(1000,)",drezner1,0.22068572044372559,0.14905254667668222
5,-0.07192652717033599,-0.8144350192064198,0.1490635,"(235,)","(1000,)",drezner2,0.21776294708251953,0.14905254108841914
6,-0.42691566019639415,-0.1314661772658443,0.1605281,"(254,)","(1000,)",scipy,0.2586941719055176,0.16038100208513045
6,-0.42691566019639415,-0.1314661772658443,0.1605281,"(254,)","(1000,)",cox1,0.48697996139526367,0.15796940470528975
6,-0.42691566019639415,-0.1314661772658443,0.1605281,"(254,)","(1000,)",cox2,0.006596803665161133,0.15995240075204464
6,-0.42691566019639415,-0.1314661772658443,0.1605281,"(254,)","(1000,)",owen,0.0007801055908203125,0.16038100208513054
6,-0.42691566019639415,-0.1314661772658443,0.1605281,"(254,)","(1000,)",drezner1,0.22068572044372559,0.1603810022074117
6,-0.42691566019639415,-0.1314661772658443,0.1605281,"(254,)","(1000,)",drezner2,0.21776294708251953,0.1603810020848878
7,0.011022100686610026,2.019422811997437,0.5971644,"(276,)","(1000,)",scipy,0.2586941719055176,0.5970066864164579
7,0.011022100686610026,2.019422811997437,0.5971644,"(276,)","(1000,)",cox1,0.48697996139526367,0.5970453372592809
7,0.011022100686610026,2.019422811997437,0.5971644,"(276,)","(1000,)",cox2,0.006596803665161133,0.5991029093489895
7,0.011022100686610026,2.019422811997437,0.5971644,"(276,)","(1000,)",owen,0.0007801055908203125,0.597006686416458
7,0.011022100686610026,2.019422811997437,0.5971644,"(276,)","(1000,)",drezner1,0.22068572044372559,0.5970205723109888
7,0.011022100686610026,2.019422811997437,0.5971644,"(276,)","(1000,)",drezner2,0.21776294708251953,0.5970058072429786
8,1.3834341882572445,-1.1210252841187598,0.1915592,"(281,)","(1000,)",scipy,0.2586941719055176,0.19155594486697528
8,1.3834341882572445,-1.1210252841187598,0.1915592,"(281,)","(1000,)",cox1,0.48697996139526367,0.19137091147068563
8,1.3834341882572445,-1.1210252841187598,0.1915592,"(281,)","(1000,)",cox2,0.006596803665161133,0.18991672113764568
8,1.3834341882572445,-1.1210252841187598,0.1915592,"(281,)","(1000,)",owen,0.0007801055908203125,0.19155594486697533
8,1.3834341882572445,-1.1210252841187598,0.1915592,"(281,)","(1000,)",drezner1,0.22068572044372559,0.19155579831578684
8,1.3834341882572445,-1.1210252841187598,0.1915592,"(281,)","(1000,)",drezner2,0.21776294708251953,0.1915559485447319
9,0.3755912591061692,4.440197209106795,0.587314,"(357,)","(1000,)",scipy,0.2586941719055176,0.5872344226736372
9,0.3755912591061692,4.440197209106795,0.587314,"(357,)","(1000,)",cox1,0.48697996139526367,0.5868450899217095
9,0.3755912591061692,4.440197209106795,0.587314,"(357,)","(1000,)",cox2,0.006596803665161133,0.587272703375918
9,0.3755912591061692,4.440197209106795,0.587314,"(357,)","(1000,)",owen,0.0007801055908203125,0.5872344226736372
9,0.3755912591061692,4.440197209106795,0.587314,"(357,)","(1000,)",drezner1,0.22068572044372559,0.587234422673649
9,0.3755912591061692,4.440197209106795,0.587314,"(357,)","(1000,)",drezner2,0.21776294708251953,0.5872344226736352
10,-0.6534264765065222,-3.146726357550439,0.1957063,"(390,)","(1000,)",scipy,0.2586941719055176,0.1957610098709021
10,-0.6534264765065222,-3.146726357550439,0.1957063,"(390,)","(1000,)",cox1,0.48697996139526367,0.19559837416679499
10,-0.6534264765065222,-3.146726357550439,0.1957063,"(390,)","(1000,)",cox2,0.006596803665161133,0.19674146419927324
10,-0.6534264765065222,-3.146726357550439,0.1957063,"(390,)","(1000,)",owen,0.0007801055908203125,0.19576100987090211
10,-0.6534264765065222,-3.146726357550439,0.1957063,"(390,)","(1000,)",drezner1,0.22068572044372559,0.19576100986891737
10,-0.6534264765065222,-3.146726357550439,0.1957063,"(390,)","(1000,)",drezner2,0.21776294708251953,0.19576100987092254
11,3.171878188053922,2.8210136089659343,0.8146438,"(468,)","(1000,)",scipy,0.2586941719055176,0.814705041167202
11,3.171878188053922,2.8210136089659343,0.8146438,"(468,)","(1000,)",cox1,0.48697996139526367,0.8167360912821746
11,3.171878188053922,2.8210136089659343,0.8146438,"(468,)","(1000,)",cox2,0.006596803665161133,0.8252303577045046
11,3.171878188053922,2.8210136089659343,0.8146438,"(468,)","(1000,)",owen,0.0007801055908203125,0.8147050411672021
11,3.171878188053922,2.8210136089659343,0.8146438,"(468,)","(1000,)",drezner1,0.22068572044372559,0.8147150579013713
11,3.171878188053922,2.8210136089659343,0.8146438,"(468,)","(1000,)",drezner2,0.21776294708251953,0.8147064548840919
12,0.48359359985273853,-2.7629857074019393,0.0217704,"(508,)","(1000,)",scipy,0.2586941719055176,0.021829464008017985
12,0.48359359985273853,-2.7629857074019393,0.0217704,"(508,)","(1000,)",cox1,0.48697996139526367,0.021628549982196793
12,0.48359359985273853,-2.7629857074019393,0.0217704,"(508,)","(1000,)",cox2,0.006596803665161133,0.02174506601842688
12,0.48359359985273853,-2.7629857074019393,0.0217704,"(508,)","(1000,)",owen,0.0007801055908203125,0.021829464008017975
12,0.48359359985273853,-2.7629857074019393,0.0217704,"(508,)","(1000,)",drezner1,0.22068572044372559,0.021829464004090943
12,0.48359359985273853,-2.7629857074019393,0.0217704,"(508,)","(1000,)",drezner2,0.21776294708251953,0.02182946400823385
13,-2.0203595398915986,1.9250006963845445,0.0152092,"(583,)","(1000,)",scipy,0.2586941719055176,0.015176330876523578
13,-2.0203595398915986,1.9250006963845445,0.0152092,"(583,)","(1000,)",cox1,0.48697996139526367,0.019069062599534392
13,-2.0203595398915986,1.9250006963845445,0.0152092,"(583,)","(1000,)",cox2,0.006596803665161133,0.010287878895978098
13,-2.0203595398915986,1.9250006963845445,0.0152092,"(583,)","(1000,)",owen,0.0007801055908203125,0.015176330876523592
13,-2.0203595398915986,1.9250006963845445,0.0152092,"(583,)","(1000,)",drezner1,0.22068572044372559,0.015176328437380648
13,-2.0203595398915986,1.9250006963845445,0.0152092,"(583,)","(1000,)",drezner2,0.21776294708251953,0.015176331247263641
14,2.1665862507912266,-1.7500518010524302,0.2328845,"(645,)","(1000,)",scipy,0.2586941719055176,0.23263757152033376
14,2.1665862507912266,-1.7500518010524302,0.2328845,"(645,)","(1000,)",cox1,0.48697996139526367,0.2325772148736005
14,2.1665862507912266,-1.7500518010524302,0.2328845,"(645,)","(1000,)",cox2,0.006596803665161133,0.23190994853916092
14,2.1665862507912266,-1.7500518010524302,0.2328845,"(645,)","(1000,)",owen,0.0007801055908203125,0.23263757152033382
14,2.1665862507912266,-1.7500518010524302,0.2328845,"(645,)","(1000,)",drezner1,0.22068572044372559,0.23263757152397835
14,2.1665862507912266,-1.7500518010524302,0.2328845,"(645,)","(1000,)",drezner2,0.21776294708251953,0.23263757152017184
15,-0.06410338877072252,0.7479280799612074,0.0643173,"(715,)","(1000,)",scipy,0.2586941719055176,0.06433863895158384
15,-0.06410338877072252,0.7479280799612074,0.0643173,"(715,)","(1000,)",cox1,0.48697996139526367,0.06709436805303692
15,-0.06410338877072252,0.7479280799612074,0.0643173,"(715,)","(1000,)",cox2,0.006596803665161133,0.06439704862290818
15,-0.06410338877072252,0.7479280799612074,0.0643173,"(715,)","(1000,)",owen,0.0007801055908203125,0.06433863895158387
15,-0.06410338877072252,0.7479280799612074,0.0643173,"(715,)","(1000,)",drezner1,0.22068572044372559,0.06433863895158409
15,-0.06410338877072252,0.7479280799612074,0.0643173,"(715,)","(1000,)",drezner2,0.21776294708251953,0.06433863895158376
16,2.789370391106721,-2.619987133373306,0.0004813,"(749,)","(1000,)",scipy,0.2586941719055176,0.00047532016812577746
16,2.789370391106721,-2.619987133373306,0.0004813,"(749,)","(1000,)",cox1,0.48697996139526367,0.000999000999000999
