approach,,,,root_scalar,root_scalar,root_scalar,root_scalar,root_scalar,root_scalar,root_scalar,minimize,minimize,minimize,minimize,minimize,minimize,minimize,minimize_scalar,minimize_scalar,minimize_scalar,root,root
method,,,,bisect,brentq,brenth,ridder,toms748,secant,newton,L-BFGS-B,BFGS,TNC,SLSQP,Nelder-Mead,Powell,COBYLA,Brent,Bounded,Golden,hybr,lm
n,ndraw,idx,bound,,,,,,,,,,,,,,,,,,,
"(1,)",5,0,lb,-0.7602386176586151,-0.7602533484475275,-0.7602832636500674,-0.7603234898433926,-0.7602737513240845,-0.7602737413531186,-0.7602737432060998,-0.7871451904348978,-1.5076382765653935,-4.069832029458676,-1.078523233178402,-551.7673679356949,-0.7602737432016022,-0.7433982229976787,-0.7602737429709346,-52786.40343510736,-0.7602737447564977,-0.7602737432061702,-0.760273743206168
"(1,)",5,0,ub,4.804786294698715,4.80476820128036,4.804767731246671,4.804719639877635,4.804767880867048,4.804767874693713,4.804767880861174,4.811175738729463,4.681767425649357,4.8047406426822885,6.066044089358019,4.804764153305737,4.8047678808632,4.804784128265462,4.804767881466062,23606.79810360216,4.804767885064677,4.80476787764892,4.804767880861215
"(1,)",5,1,lb,-0.1075677573680877,-0.107620489922004,-0.1076324403310221,-0.1076671790280774,-0.1076206101513909,-0.1076205909457322,-0.1076206101513847,-81.50796650629677,-0.0231068922199152,-0.0903298799348348,0.0549939577151496,-246.03154909126997,-0.107620610151389,-0.0648874358709361,-0.1076206099348873,-52786.40343510736,-0.1076206101874095,-0.1076206099856858,-0.1076206101513897
"(1,)",5,1,ub,9.97902825474739,9.979064786102558,9.979062754014926,9.979106276880962,9.97906521191383,9.979065211820243,9.979065211299185,10.013751708302394,10.458100768085476,9.980898456686909,9.12365200762382,9.979084408214828,9.979065211875293,9.97906320509191,9.97906523784233,23606.79810360216,9.979065222463504,9.979065211923448,9.979065211870044
"(1,)",5,2,lb,-322.42005690932274,-322.41998214191005,-322.41998390117345,-322.419933446055,-322.4199834413428,-322.41998343422466,-322.41841391674285,-310.8357911647425,1.2583240394246114,-319.982223559882,1.3110284998311266,-322.4199995548614,-322.4199834353442,-142.75113739320076,-322.4199832263168,-52786.40343510736,-322.41998302115263,-322.4199834488047,-267.35600447383405
"(1,)",5,2,ub,-2.5087036192417145,-2.508724343625844,-2.50872432039045,-2.5087725907418257,-2.5087243042699567,-2.5087243043910226,-2.5087243045702925,-2.513451000362073,0.3153676701069541,-2.507679692824599,1.6079648652019036,-2.508692714886441,-2.508724304570462,-2.5083288720652805,-2.508724303578548,23606.79810360216,-2.508724307515639,-2.50872428461219,-2.508724304570405
"(1,)",5,3,lb,-1.0536052286624908,-1.0536474436043028,-1.0536576520375798,-1.0537056326629552,-1.05365776724102,-1.0536577623218932,-1.0536577670425715,-1.0607343087867585,-1.9352353652295815,-8.104309772757375,-1.6500320502544952,-147.26989124795278,-1.053657767241018,-1.0350072839827105,-1.0536577677298764,-52786.40343510736,-1.053657767589256,-1.0536577672410186,-1.0536577672410183
"(1,)",5,3,ub,3.870856016874314,3.870878234792779,3.87086023740417,3.870827831133725,3.870877757298043,3.8708777564558816,3.870877751343365,3.8668451798347783,3.884757141258196,3.871034491828584,4.725269269744596,3.8708745506657047,3.870877756745666,3.870926514559536,3.870877749528724,23606.79810360216,3.870877760199574,3.8708777567443824,3.8708777567443793
